Zip,energy_kwh,capacity_kw,num_projects,energy_per_kw,capacity_factor,avg_project_size,log_energy,kmeans_cluster,zip,lat,lng,cluster,cluster_name
10601,3992218,3400.99,18,1173.8399701263456,0.13399999658976547,188.94388888888886,15.19985777462819,1,10601,41.03295,-73.76504,1,High Production Zone
10603,3962832,3376.03,349,1173.8142137362522,0.13399705636258588,9.673438395415474,15.19246973149158,1,10603,41.05456,-73.77939,1,High Production Zone
10604,4709281,4011.87,119,1173.8368890317981,0.13399964486664365,33.71319327731092,15.365046012758608,1,10604,41.05928,-73.73944,1,High Production Zone
10605,10918119,9301.27,344,1173.8309929719273,0.13399897180044834,27.03857558139535,16.205934352287436,1,10605,41.00919,-73.74605,1,High Production Zone
10606,1589563,1354.1299999999999,195,1173.8629230576091,0.1340026167873983,6.9442564102564095,14.278970322756448,1,10606,41.02045,-73.77572,1,High Production Zone
10607,2500126,2129.9,255,1173.823184187051,0.13399808038664965,8.352549019607844,14.731852088548154,1,10607,41.0395,-73.81117,1,High Production Zone
10701,10454642,8906.48,434,1173.824226855054,0.13399819941267738,20.521843317972348,16.16255674392041,1,10701,40.94544,-73.88034,1,High Production Zone
10703,3507280,2987.94,322,1173.8120578057124,0.13399681025179364,9.279316770186336,15.0703516513758,1,10703,40.95974,-73.88031,1,High Production Zone
10704,4638951,3952.11,427,1173.79096229609,0.13399440208859473,9.25552693208431,15.349999036622794,1,10704,40.91886,-73.86176,1,High Production Zone
10705,2378441,2026.27,286,1173.8026028120635,0.13399573091461914,7.084860139860139,14.68195620944048,1,10705,40.91925,-73.88976,1,High Production Zone
10706,1433160,1220.87,163,1173.8841973346878,0.13400504535784105,7.489999999999999,14.175393052209028,1,10706,40.98976,-73.86752,1,High Production Zone
10707,1240471,1056.79,108,1173.8103123610178,0.13399661100011617,9.785092592592592,14.031002510315519,1,10707,40.96054,-73.82274,1,High Production Zone
10708,839035,714.8,86,1173.8038612199218,0.13399587456848422,8.311627906976744,13.640008892752888,1,10708,40.93816,-73.83075,1,High Production Zone
10709,1231332,1048.96,129,1173.8598230628431,0.13400226290671727,8.131472868217054,14.023607880363917,1,10709,40.95459,-73.80935,1,High Production Zone
10710,5759666,4906.8099999999995,567,1173.8106835194353,0.13399665336979857,8.653985890652557,15.566390218500867,1,10710,40.96732,-73.84713,1,High Production Zone
10801,4708008,4010.91,333,1173.8004592474028,0.13399548621545693,12.044774774774774,15.36477565900024,1,10801,40.91757,-73.78437,1,High Production Zone
10803,2629106,2239.85,211,1173.7866374980467,0.133993908390188,10.615402843601895,14.78215480276969,1,10803,40.9003,-73.80662,1,High Production Zone
10804,2540087,2163.94,228,1173.8250598445427,0.13399829450280168,9.490964912280702,14.747709284063863,1,10804,40.94912,-73.78636,1,High Production Zone
10805,1672662,1424.99,86,1173.8061319728558,0.1339961337868557,16.5696511627907,14.329927525129582,1,10805,40.89645,-73.7804,1,High Production Zone
10901,5129023,4369.45,243,1173.8372106329173,0.13399968157910014,17.981275720164607,15.45042594563517,1,10901,41.13876,-74.11615,1,High Production Zone
10912,29556,25.18,3,1173.7887212073074,0.13399414625654194,8.393333333333333,10.294075881413862,0,,,,0,Medium Production Zone
10913,1355077,1154.3799999999999,130,1173.856962178832,0.13400193632178448,8.879846153846152,14.119369575214808,1,10913,41.06885,-73.95552,1,High Production Zone
10914,1091390,929.77,88,1173.8279359411467,0.1339986228243318,10.56556818181818,13.902963587411097,1,10914,41.41597,-74.19953,1,High Production Zone
10915,195769,166.78,14,1173.8158052524284,0.13399723804251465,11.912857142857144,12.184695779770589,0,10915,41.54231,-74.35823,0,Medium Production Zone
10916,10005884,8524.07,147,1173.8387882783695,0.13399986167561292,57.98687074829932,16.118683977860105,1,10916,41.44214,-74.2487,1,High Production Zone
10917,1504124,1281.37,59,1173.8404988410844,0.13400005694532924,21.71813559322034,14.223721891740464,1,10917,41.32443,-74.11697,1,High Production Zone
10918,15177135,12929.43,462,1173.8440905747584,0.13400046696058887,27.98577922077922,16.535300642829753,1,10918,41.3477,-74.25871,1,High Production Zone
10919,673528,573.77,42,1173.8640918835074,0.13400275021501223,13.661190476190475,13.420286332554408,0,10919,41.52855,-74.38317,0,Medium Production Zone
10920,2666559,2271.55,240,1173.8940371112235,0.1340061686200027,9.464791666666667,14.796299810175979,1,10920,41.15291,-73.94057,1,High Production Zone
10921,5210486,4438.88,144,1173.8289838878275,0.13399874245294835,30.825555555555557,15.46618388344941,1,10921,41.32976,-74.36388,1,High Production Zone
10922,224338,191.11,22,1173.8684527235623,0.13400324802780392,8.686818181818182,12.320913579669444,0,10922,41.3336,-73.99473,0,Medium Production Zone
10923,3122692,2660.24,331,1173.8384506661055,0.13399982313540015,8.036978851963745,14.954206328519303,1,10923,41.20235,-73.9998,1,High Production Zone
10924,19557538,16661.22,432,1173.835889568711,0.1339995307726839,38.567638888888894,16.78887139665929,1,10924,41.37946,-74.34667,1,High Production Zone
10925,991980,845.0699999999999,90,1173.8435869217935,0.13400040946595818,9.389666666666667,13.807459232857777,1,10925,41.21009,-74.3033,1,High Production Zone
10926,1493002,1271.92,69,1173.8175356940687,0.1339974355815147,18.433623188405797,14.216300085896401,1,10926,41.30162,-74.12443,1,High Production Zone
10927,1170082,996.8199999999999,127,1173.8147308440844,0.1339971153931603,7.848976377952756,13.972585244428744,1,10927,41.19257,-73.96708,1,High Production Zone
10928,648628,552.56,70,1173.8598523237297,0.1340022662470011,7.893714285714285,13.382616183542527,0,10928,41.35344,-73.99766,0,Medium Production Zone
10930,2707036,2306.15,245,1173.833445352644,0.13399925175258492,9.412857142857144,14.811365236770483,1,10930,41.36485,-74.11535,1,High Production Zone
10931,144878,123.43,15,1173.766507332091,0.1339916104260378,8.228666666666667,11.883654190269532,0,10931,41.14745,-74.16455,0,Medium Production Zone
10932,64407,54.870000000000005,4,1173.8108255877528,0.13399666958764303,13.717500000000001,11.072993127979817,0,10932,41.48207,-74.46457,0,Medium Production Zone
10933,3456999,2945.04,20,1173.8377067883628,0.13399973821784963,147.252,15.055911718903761,1,10933,41.36525,-74.5142,1,High Production Zone
10940,33251605,28327.35,1230,1173.8339449330772,0.13399930878231472,23.030365853658534,17.319613624651574,1,10940,41.45119,-74.47016,1,High Production Zone
10941,14711797,12532.98,400,1173.8466829118056,0.13400076288947552,31.332449999999998,16.504160314883833,1,10941,41.48857,-74.34496,1,High Production Zone
10950,12082493,10293.039999999999,812,1173.8507768356094,0.1340012302323755,12.676157635467979,16.30726818611528,1,10950,41.31837,-74.19886,1,High Production Zone
10952,2191498,1866.97,161,1173.8260389829509,0.13399840627659257,11.59608695652174,14.600096342532431,1,10952,41.11363,-74.07943,1,High Production Zone
10953,187779,159.97,11,1173.838844783397,0.13399986812595854,14.542727272727273,12.143026343812538,0,10953,41.40504,-74.07745,0,Medium Production Zone
10954,5112985,4355.75,427,1173.8472134534811,0.13400082345359374,10.200819672131148,15.447294135939867,1,10954,41.09997,-74.01276,1,High Production Zone
10956,10358916,8824.75,866,1173.848097679821,0.13400092439267364,10.190242494226329,16.153358252651735,1,10956,41.1569,-73.99436,1,High Production Zone
10958,19096202,16268.16,121,1173.839081985916,0.1339998952038717,134.44760330578512,16.765000077442835,1,10958,41.37337,-74.43044,1,High Production Zone
10959,21562,18.37,1,1173.7615677735437,0.1339910465494913,18.37,9.978734161910666,0,,,,0,Medium Production Zone
10960,2565049,2185.24,196,1173.806538412257,0.13399618018404758,11.149183673469386,14.757488529574406,1,10960,41.09198,-73.92584,1,High Production Zone
